type,issue,evidence,risk_band,recommended_action,expected_business_benefit,urgency,supporting_metrics
Inventory Replenishment,SKU-00002 at Lake Mark Distribution Center has a 58% probability of stockout next week (High risk).,"Demand decreased 18% (2022 -> 1650 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹246 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.58, 'sku': 'SKU-00002', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00006 at Lisatown Distribution Center has a 60% probability of stockout next week (High risk).,"Demand decreased 31% (1866 -> 1280 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 3.5 to 2.6 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹736 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.6, 'sku': 'SKU-00006', 'warehouse': 'Lisatown Distribution Center'}"
Inventory Replenishment,SKU-00006 at Cassandraton Distribution Center has a 61% probability of stockout next week (High risk).,"Demand increased 66% (1237 -> 2060 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.3 to 1.0 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹761 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.612, 'sku': 'SKU-00006', 'warehouse': 'Cassandraton Distribution Center'}"
Inventory Replenishment,SKU-00006 at Lake Mark Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 109% (1635 -> 3418 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.1 to 1.4 days of supply.; Late deliveries for this product-warehouse rose from 1 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 3 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹786 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.646, 'sku': 'SKU-00006', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00011 at Herrerafurt Distribution Center has a 70% probability of stockout next week (High risk).,"Demand increased 26% (1830 -> 2306 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.3 to 1.7 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹423 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.698, 'sku': 'SKU-00011', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00011 at Lake Chad Distribution Center has a 60% probability of stockout next week (High risk).,"Demand increased 22% (2070 -> 2530 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹363 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.603, 'sku': 'SKU-00011', 'warehouse': 'Lake Chad Distribution Center'}"
Inventory Replenishment,SKU-00011 at Jacquelineland Distribution Center has a 61% probability of stockout next week (High risk).,"Demand decreased 28% (1472 -> 1058 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.7 to 3.5 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹363 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.61, 'sku': 'SKU-00011', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00012 at Lake Debra Distribution Center has a 54% probability of stockout next week (High risk).,Inventory coverage declined from 10.3 to 7.7 days of supply.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,079 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.537, 'sku': 'SKU-00012', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00012 at New Kellystad Distribution Center has a 55% probability of stockout next week (High risk).,Inventory coverage declined from 4.1 to 0.6 days of supply.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,079 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.549, 'sku': 'SKU-00012', 'warehouse': 'New Kellystad Distribution Center'}"
Inventory Replenishment,SKU-00012 at South Noah Distribution Center has a 69% probability of stockout next week (High risk).,"Demand decreased 28% (3277 -> 2373 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 11.7 to 7.1 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,359 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.686, 'sku': 'SKU-00012', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00014 at Lake Debra Distribution Center has a 51% probability of stockout next week (High risk).,"Demand increased 64% (112 -> 184 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹944 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.509, 'sku': 'SKU-00014', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00015 at North Judithbury Distribution Center has a 55% probability of stockout next week (High risk).,"Demand decreased 13% (1812 -> 1574 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹103 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.553, 'sku': 'SKU-00015', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00015 at East Jessetown Distribution Center has a 54% probability of stockout next week (High risk).,"Demand decreased 71% (6121 -> 1771 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 29.6 to 4.5 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹99 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.539, 'sku': 'SKU-00015', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00015 at North Noahstad Distribution Center has a 50% probability of stockout next week (High risk).,"Demand increased 25% (2040 -> 2542 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 8.6 to 14.6 days of supply.; Late deliveries for this product-warehouse rose from 3 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 2 to 5 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹92 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.5, 'sku': 'SKU-00015', 'warehouse': 'North Noahstad Distribution Center'}"
Inventory Replenishment,SKU-00015 at Ramirezstad Distribution Center has a 57% probability of stockout next week (High risk).,"Demand increased 48% (1389 -> 2062 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.7 to 3.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 3 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹106 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.574, 'sku': 'SKU-00015', 'warehouse': 'Ramirezstad Distribution Center'}"
Inventory Replenishment,SKU-00015 at West Michael Distribution Center has a 54% probability of stockout next week (High risk).,"Demand increased 15% (1200 -> 1380 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 6 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 4 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹99 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.544, 'sku': 'SKU-00015', 'warehouse': 'West Michael Distribution Center'}"
Inventory Replenishment,SKU-00015 at Jacquelineland Distribution Center has a 76% probability of stockout next week (High risk).,"Demand increased 75% (849 -> 1488 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 12.4 to 14.6 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹139 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.762, 'sku': 'SKU-00015', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00017 at Robinsonshire Distribution Center has a 51% probability of stockout next week (High risk).,"Demand increased 21% (261 -> 316 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 6.5 to 4.9 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹480 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.509, 'sku': 'SKU-00017', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00017 at Port Keith Distribution Center has a 52% probability of stockout next week (High risk).,"Demand increased 31% (281 -> 368 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 6.5 to 5.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹499 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.515, 'sku': 'SKU-00017', 'warehouse': 'Port Keith Distribution Center'}"
Inventory Replenishment,SKU-00018 at New Roberttown Distribution Center has a 73% probability of stockout next week (High risk).,"Demand increased 31% (1581 -> 2064 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,218 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.732, 'sku': 'SKU-00018', 'warehouse': 'New Roberttown Distribution Center'}"
Inventory Replenishment,SKU-00018 at East Jessetown Distribution Center has a 51% probability of stockout next week (High risk).,"Demand increased 39% (2112 -> 2936 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.1 to 0.6 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,964 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.51, 'sku': 'SKU-00018', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00018 at Lake Debra Distribution Center has a 63% probability of stockout next week (High risk).,"Demand decreased 32% (2756 -> 1874 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,534 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.626, 'sku': 'SKU-00018', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00018 at South Noah Distribution Center has a 56% probability of stockout next week (High risk).,"Demand increased 25% (3427 -> 4300 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 10 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 5 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,192 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.56, 'sku': 'SKU-00018', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00020 at Ericmouth Distribution Center has a 59% probability of stockout next week (High risk).,"Demand decreased 13% (1297 -> 1124 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹788 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.592, 'sku': 'SKU-00020', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00020 at Herrerafurt Distribution Center has a 59% probability of stockout next week (High risk).,"Demand decreased 21% (1486 -> 1174 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹788 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.594, 'sku': 'SKU-00020', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00022 at Ericmouth Distribution Center has a 67% probability of stockout next week (High risk).,"Demand decreased 28% (1442 -> 1034 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,440 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.674, 'sku': 'SKU-00022', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00022 at South Noah Distribution Center has a 55% probability of stockout next week (High risk).,"Demand decreased 33% (1638 -> 1096 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,186 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.554, 'sku': 'SKU-00022', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00022 at Lake Mark Distribution Center has a 74% probability of stockout next week (High risk).,Inventory coverage improved from 0.2 to 1.6 days of supply.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,567 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.742, 'sku': 'SKU-00022', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00023 at East Jill Distribution Center has a 62% probability of stockout next week (High risk).,"Demand decreased 21% (2088 -> 1650 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 4.7 to 6.3 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,443 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.616, 'sku': 'SKU-00023', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00023 at Lake Mark Distribution Center has a 56% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,013 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.555, 'sku': 'SKU-00023', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00026 at East Jessetown Distribution Center has a 50% probability of stockout next week (High risk).,"Demand increased 16% (926 -> 1073 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,910 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.504, 'sku': 'SKU-00026', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00028 at Ramirezstad Distribution Center has a 55% probability of stockout next week (High risk).,"Demand increased 14% (1277 -> 1456 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹789 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.546, 'sku': 'SKU-00028', 'warehouse': 'Ramirezstad Distribution Center'}"
Inventory Replenishment,SKU-00031 at Port Jesseville Distribution Center has a 55% probability of stockout next week (High risk).,Inventory coverage declined from 11.9 to 9.0 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹7,862 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.551, 'sku': 'SKU-00031', 'warehouse': 'Port Jesseville Distribution Center'}"
Inventory Replenishment,SKU-00031 at South Noah Distribution Center has a 74% probability of stockout next week (High risk).,"Demand increased 24% (1368 -> 1696 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.9 to 3.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹10,388 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.737, 'sku': 'SKU-00031', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00031 at Lake Mark Distribution Center has a 52% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 4 to 6 orders over the last 4 weeks.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹7,300 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.517, 'sku': 'SKU-00031', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00035 at East Jill Distribution Center has a 56% probability of stockout next week (High risk).,"Demand increased 24% (2552 -> 3154 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.5 to 3.2 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹382 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.559, 'sku': 'SKU-00035', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00035 at Herrerafurt Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 36% (2088 -> 2831 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 13.7 to 4.3 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹437 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.649, 'sku': 'SKU-00035', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00040 at East Jill Distribution Center has a 52% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹13,277 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.524, 'sku': 'SKU-00040', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00040 at East Jessetown Distribution Center has a 65% probability of stockout next week (High risk).,"Demand decreased 27% (2310 -> 1685 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹16,341 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.648, 'sku': 'SKU-00040', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00040 at Robinsonshire Distribution Center has a 75% probability of stockout next week (High risk).,"Demand decreased 27% (1248 -> 907 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹19,405 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.751, 'sku': 'SKU-00040', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00040 at Herrerafurt Distribution Center has a 64% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 6 to 7 orders over the last 4 weeks.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹16,341 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.641, 'sku': 'SKU-00040', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00045 at East Jessetown Distribution Center has a 57% probability of stockout next week (High risk).,"Demand decreased 23% (1274 -> 986 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹168 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.573, 'sku': 'SKU-00045', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00045 at New Jessica Distribution Center has a 54% probability of stockout next week (High risk).,"Demand decreased 28% (1414 -> 1025 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.2 to 3.4 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹157 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.539, 'sku': 'SKU-00045', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00045 at South Noah Distribution Center has a 59% probability of stockout next week (High risk).,"Demand increased 56% (912 -> 1422 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹174 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.594, 'sku': 'SKU-00045', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00047 at North Noahstad Distribution Center has a 73% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹6,523 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.727, 'sku': 'SKU-00047', 'warehouse': 'North Noahstad Distribution Center'}"
